Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,151.0,198.0,0.0,200.0,191.0,0.0,89.0,255.0,475.0,487.0,1016.0,0.0,122.0,135.0,0.0,286.0
0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,143.0,190.0,0.0,219.0,132.0,0.0,89.0,256.0,475.0,487.0,1017.0,0.0,111.0,125.0,0.0,271.0
0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,146.0,192.0,0.0,194.0,108.0,0.0,89.0,249.0,473.0,486.0,1017.0,0.0,111.0,119.0,0.0,270.0
0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,146.0,194.0,0.0,189.0,85.0,0.0,89.0,252.0,470.0,485.0,1019.0,0.0,120.0,123.0,0.0,260.0
0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,140.0,184.0,0.0,212.0,92.0,0.0,89.0,262.0,470.0,485.0,1019.0,0.0,111.0,118.0,0.0,236.0
0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,126.0,167.0,0.0,244.0,176.0,0.0,89.0,281.0,471.0,485.0,1019.0,0.0,97.0,106.0,0.0,251.0
0.0,0.0,80.0,0.0,0.0,133.0,0.0,5.0,204.0,0.0,433.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,117.0,149.0,0.0,287.0,206.0,0.0,93.0,378.0,471.0,485.0,1019.0,0.0,82.0,86.0,0.0,289.0
0.0,0.0,77.0,0.0,120.0,136.0,0.0,199.0,200.0,0.0,432.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,115.0,151.0,0.0,269.0,206.0,0.0,96.0,385.0,474.0,485.0,1020.0,0.0,79.0,90.0,0.0,296.0
0.0,0.0,67.0,0.0,136.0,146.0,0.0,207.0,207.0,0.0,432.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,99.0,134.0,0.0,193.0,205.0,0.0,95.0,340.0,475.0,486.0,1022.0,0.0,73.0,81.0,0.0,296.0
0.0,0.0,65.0,0.0,73.0,35.0,0.0,81.0,108.0,0.0,431.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,94.0,126.0,0.0,205.0,205.0,0.0,95.0,303.0,474.0,486.0,1020.0,0.0,68.0,71.0,0.0,296.0
