Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,1035.0,0.0,0.0,0.0,0.0,65.0,42.0,50.0,0.0,0.0,0.0,211.0,0.0,0.0,198.0,190.0,106.0,287.0,476.0,493.0,1030.0,1043.0,141.0,162.0,239.0,0.0
0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,1034.0,0.0,0.0,0.0,0.0,69.0,44.0,49.0,0.0,0.0,0.0,208.0,0.0,0.0,201.0,216.0,107.0,299.0,476.0,493.0,1030.0,1043.0,133.0,151.0,230.0,0.0
0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,1034.0,0.0,0.0,0.0,0.0,77.0,47.0,50.0,0.0,0.0,0.0,197.0,0.0,0.0,200.0,221.0,107.0,302.0,476.0,493.0,1030.0,1043.0,115.0,141.0,233.0,0.0
0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,0.0,66.0,43.0,50.0,0.0,0.0,0.0,207.0,0.0,0.0,202.0,209.0,107.0,293.0,476.0,493.0,1030.0,1043.0,128.0,136.0,230.0,0.0
0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,0.0,78.0,48.0,50.0,0.0,0.0,0.0,207.0,0.0,0.0,200.0,271.0,107.0,322.0,476.0,493.0,1030.0,1043.0,133.0,156.0,231.0,0.0
0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,0.0,76.0,47.0,50.0,0.0,0.0,0.0,181.0,0.0,0.0,201.0,308.0,107.0,333.0,476.0,493.0,1029.0,1042.0,91.0,137.0,234.0,0.0
0.0,0.0,146.0,0.0,0.0,23.0,54.0,0.0,0.0,0.0,0.0,1021.0,1035.0,0.0,0.0,0.0,0.0,113.0,60.0,50.0,0.0,0.0,0.0,209.0,9.0,0.0,198.0,316.0,107.0,378.0,479.0,493.0,1030.0,1043.0,129.0,156.0,236.0,0.0
0.0,0.0,141.0,54.0,0.0,123.0,145.0,45.0,0.0,0.0,0.0,1021.0,1035.0,0.0,0.0,0.0,0.0,146.0,74.0,50.0,0.0,0.0,0.0,209.0,43.0,0.0,199.0,340.0,113.0,371.0,479.0,493.0,1029.0,1043.0,132.0,152.0,359.0,0.0
0.0,0.0,145.0,116.0,103.0,115.0,183.0,174.0,99.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,0.0,155.0,77.0,50.0,0.0,0.0,0.0,210.0,85.0,0.0,199.0,348.0,121.0,375.0,478.0,493.0,1028.0,1043.0,136.0,154.0,368.0,0.0
0.0,0.0,126.0,98.0,96.0,82.0,163.0,51.0,43.0,0.0,0.0,1021.0,1034.0,0.0,0.0,0.0,59.0,155.0,76.0,49.0,0.0,0.0,0.0,196.0,64.0,0.0,202.0,339.0,124.0,385.0,478.0,493.0,1028.0,1047.0,109.0,136.0,370.0,0.0
0.0,0.0,120.0,1.0,1.0,98.0,136.0,0.0,0.0,0.0,0.0,1020.0,1033.0,0.0,0.0,0.0,110.0,111.0,123.0,49.0,0.0,0.0,0.0,172.0,63.0,0.0,200.0,266.0,124.0,365.0,477.0,493.0,1028.0,1048.0,105.0,107.0,371.0,0.0
0.0,0.0,126.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1019.0,1033.0,0.0,0.0,0.0,103.0,7.0,58.0,50.0,0.0,0.0,0.0,179.0,40.0,0.0,200.0,231.0,124.0,358.0,477.0,493.0,1029.0,1048.0,85.0,112.0,369.0,0.0
0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1033.0,0.0,0.0,0.0,92.0,1.0,52.0,50.0,0.0,0.0,0.0,191.0,0.0,0.0,202.0,229.0,124.0,355.0,477.0,493.0,1029.0,1049.0,104.0,115.0,368.0,0.0
0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,1032.0,0.0,0.0,0.0,64.0,57.0,69.0,49.0,0.0,0.0,0.0,182.0,0.0,0.0,200.0,223.0,124.0,349.0,477.0,493.0,1029.0,1049.0,90.0,96.0,372.0,0.0
0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,1033.0,0.0,0.0,0.0,86.0,81.0,108.0,50.0,0.0,0.0,0.0,186.0,0.0,0.0,198.0,260.0,124.0,341.0,477.0,493.0,1029.0,1049.0,87.0,94.0,372.0,0.0
0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,1032.0,0.0,0.0,0.0,102.0,98.0,116.0,40.0,0.0,0.0,0.0,134.0,0.0,0.0,196.0,216.0,124.0,358.0,477.0,493.0,1030.0,1048.0,80.0,75.0,374.0,0.0
0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,1033.0,0.0,0.0,0.0,123.0,122.0,135.0,40.0,0.0,0.0,0.0,60.0,0.0,0.0,196.0,335.0,124.0,376.0,477.0,493.0,1029.0,1048.0,25.0,28.0,375.0,0.0
0.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,1034.0,0.0,0.0,0.0,84.0,80.0,108.0,40.0,0.0,0.0,0.0,51.0,0.0,0.0,197.0,289.0,124.0,347.0,477.0,493.0,1030.0,1049.0,24.0,21.0,372.0,0.0
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,1035.0,0.0,0.0,0.0,84.0,83.0,112.0,40.0,0.0,0.0,0.0,32.0,0.0,0.0,196.0,318.0,124.0,344.0,477.0,493.0,1029.0,1049.0,18.0,16.0,374.0,0.0
0.0,0.0,9.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,1022.0,1035.0,0.0,0.0,0.0,133.0,132.0,141.0,40.0,0.0,0.0,0.0,12.0,0.0,0.0,199.0,337.0,124.0,330.0,477.0,493.0,1030.0,1049.0,7.0,6.0,374.0,0.0
0.0,0.0,19.0,0.0,0.0,55.0,104.0,0.0,0.0,0.0,0.0,1021.0,1035.0,0.0,0.0,0.0,156.0,153.0,157.0,40.0,0.0,0.0,0.0,23.0,0.0,0.0,195.0,342.0,124.0,357.0,477.0,493.0,1030.0,1049.0,6.0,7.0,374.0,0.0
0.0,0.0,18.0,0.0,0.0,112.0,134.0,98.0,77.0,0.0,0.0,1021.0,1034.0,0.0,0.0,0.0,158.0,154.0,159.0,40.0,0.0,0.0,0.0,32.0,0.0,0.0,199.0,343.0,124.0,367.0,477.0,493.0,1029.0,1049.0,7.0,10.0,376.0,0.0
