Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,SERAING TV
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
135.0,102.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,90.0,0.0,56.0,0.0,64.0,43.0,25.0,0.0,88.0,59.0,0.0,179.0,0.0,97.0,170.0,73.0,240.0,0.0,0.0,0.0,0.0,50.0,71.0,229.0,151.0,,,
85.0,86.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,82.0,0.0,52.0,0.0,57.0,38.0,25.0,0.0,82.0,55.0,0.0,161.0,0.0,103.0,144.0,70.0,239.0,0.0,0.0,0.0,0.0,52.0,80.0,229.0,153.0,,,
83.0,85.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,82.0,0.0,52.0,0.0,87.0,51.0,25.0,0.0,69.0,44.0,0.0,212.0,0.0,80.0,143.0,69.0,239.0,0.0,0.0,0.0,0.0,41.0,60.0,229.0,245.0,,,
108.0,94.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,93.0,0.0,57.0,0.0,113.0,61.0,25.0,0.0,57.0,42.0,0.0,293.0,0.0,87.0,170.0,69.0,240.0,0.0,0.0,0.0,0.0,46.0,58.0,229.0,269.0,,,
112.0,94.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,93.0,0.0,57.0,0.0,109.0,60.0,25.0,0.0,65.0,59.0,5.0,294.0,0.0,73.0,172.0,69.0,240.0,0.0,0.0,0.0,0.0,42.0,52.0,229.0,282.0,,,
166.0,112.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,106.0,0.0,62.0,0.0,116.0,62.0,24.0,0.0,56.0,52.0,34.0,315.0,0.0,69.0,227.0,69.0,337.0,0.0,0.0,0.0,0.0,39.0,59.0,338.0,288.0,,,
255.0,144.0,16.0,120.0,0.0,114.0,0.0,0.0,125.0,0.0,0.0,1009.0,0.0,135.0,89.0,88.0,0.0,119.0,64.0,24.0,66.0,35.0,37.0,34.0,325.0,0.0,42.0,314.0,69.0,384.0,0.0,0.0,0.0,0.0,22.0,27.0,348.0,293.0,,,
259.0,145.0,2.0,120.0,0.0,101.0,43.0,146.0,199.0,0.0,0.0,1011.0,0.0,136.0,140.0,154.0,0.0,136.0,69.0,24.0,249.0,5.0,6.0,49.0,327.0,0.0,12.0,316.0,69.0,386.0,0.0,0.0,0.0,0.0,6.0,7.0,351.0,294.0,,,
259.0,145.0,2.0,140.0,0.0,135.0,175.0,192.0,214.0,0.0,0.0,1012.0,0.0,136.0,141.0,155.0,0.0,137.0,70.0,24.0,373.0,3.0,0.0,103.0,345.0,0.0,5.0,318.0,69.0,388.0,0.0,0.0,0.0,0.0,7.0,5.0,353.0,294.0,,,
260.0,146.0,3.0,98.0,0.0,98.0,77.0,146.0,173.0,0.0,0.0,1012.0,0.0,137.0,141.0,155.0,0.0,138.0,70.0,24.0,377.0,6.0,3.0,95.0,309.0,0.0,0.0,319.0,69.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,296.0,,,
