Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
236.0,138.0,51.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,65.0,74.0,0.0,340.0,205.0,90.0,263.0,94.0,325.0,461.0,485.0,0.0,0.0,28.0,47.0,0.0,293.0
236.0,138.0,61.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,85.0,93.0,0.0,350.0,205.0,117.0,271.0,94.0,346.0,461.0,485.0,0.0,0.0,31.0,65.0,0.0,295.0
221.0,132.0,42.0,19.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,68.0,87.0,20.0,355.0,205.0,117.0,307.0,94.0,374.0,461.0,485.0,0.0,0.0,43.0,62.0,0.0,254.0
270.0,150.0,52.0,114.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,76.0,98.0,34.0,359.0,205.0,134.0,326.0,94.0,333.0,461.0,485.0,0.0,0.0,46.0,71.0,0.0,171.0
223.0,134.0,44.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,61.0,81.0,3.0,355.0,205.0,121.0,225.0,94.0,310.0,460.0,485.0,0.0,0.0,43.0,69.0,0.0,159.0
255.0,144.0,46.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,63.0,76.0,0.0,342.0,205.0,111.0,230.0,94.0,311.0,459.0,485.0,0.0,0.0,34.0,64.0,0.0,136.0
268.0,149.0,69.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,94.0,100.0,0.0,356.0,174.0,127.0,275.0,94.0,351.0,459.0,485.0,0.0,0.0,41.0,67.0,0.0,117.0
270.0,150.0,104.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,137.0,155.0,0.0,356.0,115.0,201.0,260.0,94.0,333.0,460.0,485.0,0.0,0.0,67.0,109.0,0.0,122.0
272.0,150.0,87.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,130.0,152.0,9.0,359.0,90.0,198.0,277.0,94.0,359.0,460.0,485.0,0.0,0.0,65.0,107.0,0.0,145.0
274.0,151.0,88.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,111.0,131.0,34.0,359.0,56.0,184.0,284.0,94.0,356.0,459.0,485.0,0.0,0.0,54.0,103.0,0.0,141.0
