Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,ESCH-SUR-ALZETTE STEG,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
184.0,119.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,133.0,208.0,42.0,149.0,0.0,291.0,209.0,25.0,105.0,0.0,495.0,488.0,0.0,999.0,65.0,108.0,0.0,260.0
235.0,137.0,124.0,0.0,30.0,0.0,62.0,0.0,0.0,0.0,440.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,100.0,190.0,209.0,99.0,201.0,0.0,271.0,208.0,66.0,105.0,0.0,495.0,488.0,0.0,998.0,97.0,117.0,0.0,288.0
285.0,152.0,74.0,0.0,134.0,0.0,162.0,0.0,5.0,0.0,440.0,0.0,1033.0,0.0,4.0,0.0,0.0,0.0,41.0,11.0,111.0,218.0,210.0,204.0,116.0,16.0,327.0,208.0,308.0,105.0,0.0,495.0,488.0,0.0,998.0,69.0,77.0,0.0,300.0
285.0,152.0,80.0,87.0,139.0,75.0,141.0,0.0,148.0,0.0,440.0,0.0,1032.0,0.0,31.0,0.0,0.0,36.0,98.0,51.0,101.0,218.0,211.0,369.0,108.0,38.0,290.0,209.0,342.0,105.0,0.0,496.0,488.0,0.0,998.0,44.0,89.0,0.0,303.0
285.0,152.0,115.0,97.0,138.0,0.0,141.0,0.0,161.0,0.0,440.0,0.0,1032.0,0.0,34.0,2.0,0.0,142.0,153.0,146.0,103.0,227.0,210.0,378.0,114.0,4.0,280.0,209.0,343.0,105.0,0.0,496.0,487.0,0.0,998.0,53.0,95.0,0.0,302.0
284.0,152.0,121.0,66.0,123.0,0.0,136.0,0.0,120.0,0.0,440.0,0.0,1031.0,0.0,43.0,18.0,0.0,152.0,152.0,155.0,99.0,220.0,209.0,378.0,152.0,0.0,253.0,209.0,343.0,105.0,0.0,496.0,487.0,0.0,997.0,61.0,82.0,0.0,302.0
283.0,152.0,102.0,0.0,0.0,0.0,162.0,0.0,25.0,0.0,440.0,0.0,1032.0,0.0,102.0,57.0,0.0,152.0,152.0,154.0,96.0,218.0,210.0,382.0,154.0,0.0,244.0,208.0,323.0,105.0,0.0,496.0,487.0,0.0,997.0,79.0,118.0,0.0,301.0
263.0,146.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1031.0,0.0,103.0,59.0,0.0,105.0,45.0,86.0,79.0,212.0,207.0,381.0,145.0,0.0,198.0,209.0,329.0,105.0,0.0,496.0,487.0,0.0,997.0,85.0,120.0,0.0,263.0
263.0,146.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1031.0,0.0,104.0,60.0,0.0,122.0,0.0,63.0,95.0,192.0,190.0,384.0,173.0,0.0,238.0,209.0,268.0,105.0,0.0,495.0,487.0,0.0,996.0,88.0,141.0,0.0,263.0
261.0,145.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1030.0,0.0,144.0,75.0,0.0,103.0,0.0,58.0,97.0,202.0,210.0,299.0,195.0,0.0,256.0,209.0,340.0,108.0,0.0,495.0,487.0,0.0,983.0,98.0,158.0,0.0,272.0
263.0,146.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1031.0,0.0,130.0,71.0,0.0,84.0,0.0,52.0,90.0,206.0,212.0,192.0,211.0,0.0,200.0,208.0,344.0,115.0,0.0,495.0,487.0,0.0,977.0,126.0,175.0,0.0,263.0
263.0,146.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1033.0,0.0,142.0,74.0,0.0,90.0,0.0,54.0,93.0,207.0,211.0,190.0,211.0,0.0,218.0,209.0,314.0,105.0,0.0,496.0,487.0,0.0,981.0,128.0,175.0,0.0,264.0
263.0,146.0,156.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,440.0,0.0,1034.0,0.0,142.0,74.0,0.0,95.0,0.0,55.0,94.0,215.0,211.0,191.0,211.0,8.0,239.0,208.0,337.0,105.0,0.0,496.0,487.0,0.0,994.0,131.0,175.0,0.0,230.0
268.0,147.0,156.0,18.0,63.0,0.0,0.0,0.0,170.0,0.0,441.0,0.0,1035.0,0.0,140.0,74.0,0.0,152.0,0.0,76.0,103.0,213.0,208.0,369.0,211.0,21.0,284.0,208.0,344.0,106.0,0.0,496.0,487.0,0.0,996.0,132.0,175.0,0.0,269.0
285.0,152.0,156.0,70.0,130.0,0.0,91.0,0.0,134.0,0.0,441.0,0.0,1035.0,0.0,128.0,70.0,0.0,157.0,0.0,78.0,92.0,211.0,210.0,381.0,211.0,11.0,249.0,209.0,346.0,113.0,0.0,496.0,487.0,0.0,996.0,132.0,175.0,0.0,297.0
